iter,overall,attack,distortion
0,15.038931,7.240074,4.178821
10,14.661008,6.895463,4.317813
20,14.630508,6.874999,4.318009
30,14.711800,6.774533,4.550000
40,14.691550,6.762373,4.547990
50,14.621808,6.724646,4.534839
60,13.604911,6.008970,4.591455
70,13.396517,5.810046,4.681449
80,14.032620,6.212471,4.713912
90,13.525131,5.880183,4.704857
100,12.716451,5.291018,4.779924
110,12.791129,5.331159,4.794391
120,12.971103,5.445861,4.802311
130,12.487193,5.175004,4.724688
140,12.195436,4.959992,4.755448
150,11.681163,4.573269,4.821259
160,11.966114,4.736657,4.861128
170,11.700925,4.586283,4.821502
180,11.760897,4.611342,4.843884
190,11.491239,4.495641,4.747778
200,11.572333,4.512033,4.804284
210,11.454894,4.470963,4.748450
220,11.917212,4.770412,4.761595
230,11.183049,4.236357,4.828513
240,11.172722,4.236322,4.818239
250,11.013951,4.152421,4.785320
260,11.247711,4.317667,4.771210
270,10.941612,4.050267,4.866211
280,10.835719,3.910237,4.970363
290,10.820100,3.926815,4.929877
300,11.095876,4.136457,4.891191
310,10.885486,4.021380,4.853417
320,10.826222,3.980182,4.855949
330,10.715841,3.845281,4.947919
340,10.924352,3.968455,4.971670
350,10.856224,3.921916,4.973349
360,10.770485,3.859034,4.981934
370,10.487522,3.702008,4.934510
380,10.667944,3.817744,4.941328
390,10.717260,3.847878,4.945443
400,10.468661,3.694081,4.927540
410,10.556290,3.755858,4.922502
420,10.500762,3.718084,4.923636
430,10.533940,3.735729,4.930346
440,10.645469,3.780579,4.974600
450,10.437627,3.672633,4.928678
460,10.185662,3.527072,4.895054
470,9.760876,3.168291,5.008439
480,10.356288,3.556202,5.021986
490,10.201993,3.472207,4.993683
500,10.412672,3.618599,4.984774
510,10.269719,3.552705,4.940661
520,9.837991,3.275121,4.925310
530,10.092387,3.475369,4.879334
540,9.850600,3.315626,4.877161
550,10.059638,3.443388,4.894555
560,9.915555,3.356974,4.880094
570,10.062995,3.463398,4.867899
580,9.973225,3.369184,4.919448
590,10.143013,3.465499,4.944765
600,10.162016,3.432651,5.013039
610,9.954807,3.284599,5.027908
620,9.966437,3.301284,5.014512
630,9.947406,3.301182,4.995632
640,9.813256,3.221488,4.981024
650,9.831691,3.234528,4.979899
660,9.904857,3.287634,4.973405
670,9.724803,3.166000,4.975803
680,9.684884,3.139787,4.975204
690,9.854848,3.230662,5.008855
700,9.732624,3.126043,5.043559
710,9.662546,3.104781,5.005375
720,9.862177,3.239083,5.003553
730,9.673909,3.082348,5.050387
740,9.579706,3.002837,5.075451
750,9.468819,2.924274,5.082407
760,9.588260,2.993318,5.098282
770,9.751157,3.105293,5.093219
780,9.687321,3.033550,5.136997
790,9.883543,3.184785,5.106365
800,9.514772,2.914199,5.143473
810,9.512255,2.948329,5.089762
820,9.473253,2.917763,5.096608
830,9.497325,2.934592,5.095437
840,9.576325,2.956820,5.141094
850,9.501113,2.870052,5.196035
860,9.630223,2.965784,5.181548
870,9.550625,2.908213,5.188305
880,9.187442,2.694858,5.145156
890,9.356961,2.816740,5.131851
900,9.596218,2.989848,5.111446
910,9.475882,2.918656,5.097899
920,9.219463,2.752585,5.090586
930,9.230270,2.753683,5.099745
940,9.467480,2.927040,5.076921
950,9.095662,2.681987,5.072681
960,9.150922,2.699276,5.102008
970,9.529282,2.950946,5.102863
980,9.374639,2.829605,5.130232
990,9.308111,2.786544,5.128295
1000,8.972860,2.526265,5.183463
1010,9.142316,2.668276,5.139902
1020,9.107953,2.670404,5.102347
1030,9.030391,2.625333,5.092390
1040,8.849668,2.490216,5.114344
1050,8.891558,2.533438,5.091401
1060,8.749696,2.432422,5.101063
1070,8.729295,2.401224,5.127460
1080,8.706806,2.396240,5.112446
1090,8.530088,2.303064,5.075491
1100,8.602645,2.336284,5.098219
1110,8.582085,2.319017,5.103560
1120,8.650910,2.364257,5.104525
1130,8.586591,2.340535,5.075789
1140,8.548517,2.291907,5.110656
1150,8.528461,2.278585,5.110584
1160,8.319000,2.133010,5.119484
1170,8.359584,2.182829,5.085340
1180,8.479174,2.256908,5.093812
1190,8.363879,2.166081,5.114757
1200,8.513141,2.251997,5.135146
1210,8.315574,2.111836,5.147820
1220,8.548084,2.264529,5.151291
1230,8.343235,2.123471,5.158028
1240,8.181586,2.019270,5.152680
1250,8.322240,2.109488,5.158008
1260,8.412878,2.173847,5.152108
1270,8.302368,2.093577,5.162002
1280,8.198096,2.032849,5.148822
1290,8.103390,1.996837,5.108134
1300,8.168692,2.011446,5.151523
1310,8.371801,2.133881,5.170979
1320,8.448009,2.185372,5.169951
1330,8.300322,2.050788,5.224139
1340,8.290180,2.061845,5.197412
1350,8.247260,2.044619,5.180332
1360,8.317854,2.082602,5.193952
