iter,overall,attack,distortion
0,26.308973,11.939403,8.399868
10,24.964452,10.943642,8.548988
20,25.067885,10.804397,8.861289
30,25.459432,11.061323,8.867447
40,24.433966,10.254421,9.052334
50,25.164016,10.828596,8.921122
60,24.287820,10.140441,9.077159
70,23.731842,9.738217,9.124516
80,23.441976,9.588581,9.059105
90,23.515760,9.615351,9.092734
100,23.766089,9.647940,9.294179
110,23.122208,9.215964,9.298263
120,22.576387,8.834067,9.325286
130,22.433251,8.795157,9.240516
140,22.777946,8.995364,9.284899
150,22.508464,8.753133,9.378764
160,22.403670,8.664102,9.407517
170,22.364937,8.546168,9.545685
180,21.845435,8.203719,9.539857
190,21.851484,8.150789,9.625300
200,21.422669,7.783952,9.746741
210,21.503422,7.870127,9.698232
220,21.457922,7.904725,9.600834
230,21.723986,8.049282,9.650063
240,21.298083,7.710477,9.732367
250,20.932500,7.458738,9.744393
260,20.864158,7.531076,9.567544
270,20.876837,7.466976,9.676373
280,20.613467,7.267510,9.712201
290,20.656779,7.275362,9.743736
300,20.771584,7.402840,9.667324
310,20.809749,7.399046,9.711179
320,20.606345,7.242202,9.743043
330,20.723149,7.329097,9.729504
340,20.609890,7.213487,9.789659
350,20.238955,6.966830,9.788711
360,20.441614,7.134896,9.739270
370,20.310867,7.017139,9.785159
380,19.908955,6.770030,9.753909
390,19.979184,6.809416,9.765061
400,20.092323,6.882657,9.768337
410,20.031660,6.830538,9.785854
420,19.965487,6.799466,9.766287
430,20.149309,6.918811,9.771093
440,19.913276,6.759916,9.773402
450,19.716215,6.622480,9.782495
460,19.815775,6.734713,9.713706
470,19.724391,6.651325,9.747404
480,19.784626,6.721921,9.701744
490,19.910286,6.823060,9.675696
500,19.794033,6.783316,9.619059
510,19.902531,6.846097,9.633386
520,19.658919,6.604404,9.752313
530,19.328445,6.446887,9.658114
540,19.410107,6.549969,9.585154
550,19.569519,6.567631,9.718073
560,19.715905,6.710620,9.649975
570,19.137992,6.277868,9.721189
580,19.188686,6.329953,9.693755
590,19.114606,6.272718,9.705530
600,19.200682,6.324809,9.713469
610,19.093298,6.279438,9.674140
620,19.030979,6.196784,9.735803
630,18.905921,6.159702,9.666368
640,18.969118,6.192571,9.680263
650,19.015097,6.189198,9.731301
660,19.040582,6.158151,9.803356
670,18.919251,6.068404,9.816646
680,18.977820,6.150843,9.751555
690,18.911610,6.086628,9.781668
700,18.763341,6.013360,9.743301
710,18.919045,6.107989,9.757061
720,18.918429,6.087154,9.787698
730,18.776156,6.008163,9.763911
740,18.651933,5.967496,9.700690
750,18.769968,6.001705,9.767410
760,18.582014,5.869442,9.777852
770,18.466060,5.839974,9.706099
780,18.885020,6.110496,9.719277
790,18.615907,5.903939,9.759999
800,18.589358,5.884659,9.762369
810,18.604908,5.911596,9.737515
820,18.709249,6.004003,9.703245
830,18.641656,5.919460,9.762466
840,18.651819,5.913248,9.781946
850,18.861841,6.016623,9.836907
860,18.733832,5.884102,9.907678
870,18.274359,5.603380,9.869289
880,18.556703,5.820408,9.826091
890,18.572026,5.810064,9.856931
900,18.337950,5.681538,9.815643
910,18.375190,5.719376,9.796127
920,18.645594,5.925665,9.757096
930,18.248043,5.673554,9.737712
940,18.362022,5.735164,9.759276
950,18.054226,5.579917,9.684350
960,17.884409,5.451474,9.707198
970,18.607395,5.937764,9.700749
980,17.792388,5.373816,9.731663
990,18.146157,5.587300,9.765207
1000,18.208839,5.650191,9.733552
1010,17.980331,5.478653,9.762351
1020,17.669725,5.272036,9.761671
1030,17.372297,5.062546,9.778478
1040,17.924751,5.445948,9.755829
1050,17.616471,5.205388,9.808389
1060,17.386076,5.035375,9.833015
1070,17.048769,4.814221,9.827438
1080,17.274156,4.989653,9.789677
1090,16.998968,4.840742,9.737855
1100,17.254589,5.001740,9.751979
1110,16.720448,4.589925,9.835560
1120,17.208056,4.911687,9.840525
1130,17.111189,4.873120,9.801508
1140,16.797546,4.693413,9.757427
1150,16.728230,4.664319,9.731751
1160,16.577076,4.575298,9.714128
1170,16.644220,4.616228,9.719879
1180,16.566488,4.564943,9.719073
1190,16.736443,4.692250,9.698069
1200,16.586968,4.596682,9.691945
1210,16.577224,4.632339,9.628715
1220,16.329850,4.496039,9.585791
1230,16.386135,4.550932,9.559737
1240,16.369992,4.536057,9.565907
1250,16.368984,4.552802,9.539781
1260,16.259885,4.501714,9.507313
1270,16.095857,4.376421,9.531225
1280,16.020893,4.357004,9.485386
1290,16.115587,4.435073,9.462978
1300,15.948267,4.239626,9.588828
1310,16.173925,4.423850,9.538150
1320,16.100714,4.420569,9.469860
1330,16.158639,4.455619,9.475210
1340,16.182209,4.440945,9.520792
1350,16.134692,4.462312,9.441224
1360,16.023234,4.423206,9.388425
1370,15.988589,4.408204,9.376282
1380,16.050222,4.385021,9.472691
1390,16.151277,4.503419,9.396149
1400,15.964641,4.374959,9.402202
1410,15.830893,4.271257,9.424008
1420,15.890235,4.355977,9.356271
1430,15.964151,4.415482,9.340928
1440,16.386968,4.666439,9.387310
1450,16.117626,4.535805,9.313919
1460,16.575674,4.779761,9.406034
1470,15.976711,4.411661,9.359220
1480,16.123551,4.509493,9.359311
1490,15.811381,4.301765,9.358733
1500,16.018364,4.435316,9.365390
1510,15.704120,4.220779,9.372951
1520,15.650865,4.233181,9.301094
1530,15.709530,4.308129,9.247336
1540,15.869845,4.448197,9.197550
1550,15.587037,4.185260,9.309147
1560,15.642179,4.238014,9.285158
1570,15.691623,4.262733,9.297525
1580,15.668141,4.256774,9.282980
1590,15.451688,4.077147,9.335968
1600,15.601950,4.142252,9.388572
1610,15.970507,4.380314,9.400035
1620,15.664823,4.202423,9.361188
1630,15.526005,4.111624,9.358568
1640,15.511873,4.101896,9.359029
1650,15.610881,4.178457,9.343196
1660,15.631193,4.179711,9.361627
1670,15.607530,4.186664,9.327534
1680,15.690020,4.139219,9.481190
1690,15.816588,4.269461,9.412397
1700,15.677807,4.165562,9.429464
1710,15.756797,4.224777,9.419632
1720,15.575527,4.145104,9.357872
1730,15.554844,4.114110,9.383679
1740,15.460249,4.073797,9.349553
1750,15.424606,4.057866,9.337808
1760,15.310555,3.993183,9.320781
1770,15.438149,4.086967,9.307699
1780,15.394420,4.057426,9.308281
1790,15.309194,4.040031,9.249147
1800,15.407293,4.099277,9.258378
1810,15.423351,4.114213,9.252032
1820,15.503269,4.149651,9.278791
1830,15.334668,4.010673,9.318658
1840,15.567495,4.214789,9.245313
1850,15.274358,4.038391,9.216771
1860,15.318808,4.080874,9.197497
1870,15.381994,4.133872,9.181186
1880,15.409980,4.146224,9.190644
1890,15.364417,4.101861,9.211625
1900,15.337759,4.132853,9.138479
1910,15.208949,4.035068,9.156346
1920,15.252840,4.058052,9.165762
1930,15.243290,4.105961,9.084348
1940,15.523082,4.305851,9.064306
1950,15.463494,4.273318,9.053517
1960,15.366387,4.188589,9.083504
1970,15.459855,4.248997,9.086359
1980,15.231448,4.063753,9.135819
1990,15.455400,4.233426,9.105262
2000,15.342152,4.139437,9.132997
2010,15.288931,4.115743,9.115316
2020,15.329133,4.138055,9.122051
2030,15.320849,4.166476,9.071135
2040,15.177034,4.057742,9.090421
2050,15.266769,4.132127,9.068579
2060,15.190099,4.074073,9.078990
2070,15.441621,4.231726,9.094032
2080,15.478694,4.251983,9.100719
2090,15.233077,4.106329,9.073584
2100,15.110224,4.023625,9.074786
2110,15.287901,4.166913,9.037530
2120,15.322436,4.167809,9.070723
2130,15.081019,4.015194,9.058228
2140,15.157200,4.039403,9.098095
2150,15.158462,3.980621,9.187530
2160,15.116879,4.008677,9.103863
2170,15.345370,4.181150,9.073645
2180,15.314149,4.099969,9.164196
